#X,Y,E,Xfit,Yfit
7.0
0.0,8.115629465436651,0.5,0.0,8.345462298803854
0.1,7.995335797552887,0.5,0.04008016032064128,8.398365080846723
0.2,8.253858095283436,0.5,0.08016032064128256,8.447075663455163
0.30000000000000004,8.784825233607517,0.5,0.12024048096192384,8.49162095856462
0.4,8.77706108034199,0.5,0.16032064128256512,8.532029352118844
0.5,8.749549697386302,0.5,0.2004008016032064,8.568330675153161
0.6000000000000001,9.040021948270516,0.5,0.24048096192384769,8.600556174589302
0.7000000000000001,8.595587067831847,0.5,0.280561122244489,8.628738483757564
0.8,7.832981370369164,0.5,0.32064128256513025,8.652911592661976
0.9,9.197114528246845,0.5,0.3607214428857715,8.673110818004155
1.0,8.643819788498336,0.5,0.4008016032064128,8.689372772981356
1.1,7.5865451570721625,0.5,0.4408817635270541,8.701735336874245
1.2000000000000002,7.464650944501208,0.5,0.48096192384769537,8.710237624439758
1.3,7.4555675191512165,0.5,0.5210420841683366,8.71491995512437
1.4000000000000001,8.150044906171248,0.5,0.561122244488978,8.71582382211296
1.5,7.296097143827951,0.5,0.6012024048096192,8.712991861228378
1.6,6.902116183993736,0.5,0.6412825651302605,8.70646781969672
1.7000000000000002,6.893823528566802,0.5,0.6813627254509018,8.696296524793185
1.8,6.977285207436488,0.5,0.721442885771543,8.682523852383262
1.9000000000000001,6.434175388270713,0.5,0.7615230460921844,8.665196695373906
2.0,6.129965237308184,0.5,0.8016032064128256,8.644362932089194
2.1,7.068174215096579,0.5,0.8416833667334669,8.620071394584865
2.2,6.4947379229796836,0.5,0.8817635270541082,8.592371836915962
2.3000000000000003,6.096529687723468,0.5,0.9218436873747494,8.561314903371665
2.4000000000000004,6.077903937547883,0.5,0.9619238476953907,8.526952096691298
2.5,5.343098181628316,0.5,1.002004008016032,8.489335746275291
2.6,5.063279376397128,0.5,1.0420841683366733,8.448518976404737
2.7,5.246276014373402,0.5,1.0821643286573146,8.404555674483042
2.8000000000000003,4.15722992347807,0.5,1.122244488977956,8.357500459312996
2.9000000000000004,4.53957971573834,0.5,1.1623246492985972,8.307408649422394
3.0,3.895892579723308,0.5,1.2024048096192383,8.25433623145123
3.1,2.8290981104809823,0.5,1.2424849699398797,8.198339828613253
3.2,2.4702360037908226,0.5,1.282565130260521,8.139476669244521
3.3000000000000003,2.5764583386417987,0.5,1.3226452905811623,8.077804555451404
3.4000000000000004,2.2961094252767373,0.5,1.3627254509018036,8.013381831870337
